,result
0,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Jinbao Wang', 959, 0.19747638119975425, 2)"
1,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Zhao Sun', 1375, 0.1566467270206684, 2)"
2,"('Diversifying Top-K Results', 20200101, 'Lu Qin', 'Dimitris Tsirogiannis', 819, 0.1566467270206684, 2)"
3,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Long Yuan', 1027, 0.144826690500501, 1)"
4,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Zhao Sun', 1375, 0.127457296402538, 3)"
5,"('A Generic Framework for Efficient and Effective Subsequence Retrieval', 20200102, 'Haohan Zhu', 'Norases Vesdapunt', 1119, 0.1241249316661101, 1)"
6,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Yanyan Shen', 1331, 0.2502593469271173, 1)"
7,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Meihui Zhang', 1067, 0.1879363015010636, 3)"
8,"('A Comparison of Flexible Schemas for Software as a Service', 20200103, 'Stefan Aulbach', 'Dimitris Tsirogiannis', 819, 0.1851754125412089, 3)"
9,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Viktor Leis', 1280, 0.144826690500501, 2)"
10,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Puya Memarzia', 1159, 0.09622707518398846, 2)"
11,"('A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort', 20200104, 'Orestis Polychroniou', 'Khai Q. Tran', 995, 0.09385054955481527, 1)"
12,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Sutanay Choudhury', 1242, 0.2502593469271173, 1)"
13,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Venu Satuluri', 1275, 0.19216476350211487, 3)"
14,"('Making Pattern Queries Bounded in Big Graphs', 20200105, 'Yang Cao', 'Dritan Bleco', 826, 0.17023831301943926, 2)"
15,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Martin Kaufmann', 1059, 0.1977450848761424, 1)"
16,"('Predictive Tree: An Efficient Index for Predictive Queries On Road Networks', 20200106, 'Abdeltawab M. Hendawi', 'Kai Zheng', 980, 0.17293239555867435, 2)"
17,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Alexander Kalinin', 700, 0.2055351477366996, 3)"
18,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Liping Peng', 1024, 0.16821656093586507, 1)"
19,"('Kernel-Based Cardinality Estimation on Metric Data', 20200107, 'Michael Mattig', 'Cheng Sheng', 775, 0.13358599695241194, 1)"
20,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Karin Murthy', 983, 0.17672413793103445, 2)"
21,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'James Wagner', 250, 0.14760287050317253, 2)"
22,"('Iterative Estimation of Mutual Information with Error Bounds', 20200108, 'Michael Vollmer', 'Cheng Sheng', 775, 0.13358599695241194, 2)"
23,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'James Wagner', 250, 0.1499847967054318, 3)"
24,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Aravind Yalamanchi', 729, 0.12693907690254358, 1)"
25,"('ERACER: A Database Approach for Statistical Inference and Data Cleaning', 20200109, 'Chris Mayfield', 'Mohamed A. Sharaf', 1088, 0.12693907690254358, 2)"
26,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Per-Ake Larson', 1140, 0.22933254007089204, 1)"
27,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Sudeepa Roy', 1235, 0.20979231018583452, 2)"
28,"('Processing a Trillion Cells per Mouse Click', 20200110, 'Alexander Hall', 'Arjun Dasgupta', 733, 0.1922046086460704, 2)"
