,submitter_title,date,submitter_name,reviewer_name,reviewer_orcid,sim,count
0,Diversifying Top-K Results,20200101,Lu Qin,Hoang Vu Nguyen,907,0.11554054054054053,0
1,Diversifying Top-K Results,20200101,Lu Qin,Christina Pavlopoulou,779,0.15555555555555556,0
2,Diversifying Top-K Results,20200101,Lu Qin,Lu Chen,1029,0.15555555555555556,0
3,Diversifying Top-K Results,20200101,Lu Qin,Abdallah Arioua,682,0.11554054054054053,0
4,Diversifying Top-K Results,20200101,Lu Qin,David B. Lomet,802,0.11861504307305325,0
5,Diversifying Top-K Results,20200101,Lu Qin,Ke Wang,987,0.11554054054054053,0
6,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Georgia Koutrika,878,0.07631578947368423,0
7,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Yudian Zheng,1358,0.11554054054054053,0
8,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Chih-Ya Shen,776,0.07832594463128473,0
9,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Michael Shekelyan,1077,0.11554054054054053,0
10,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Xiaodong Li,1308,0.07832594463128473,0
11,A Generic Framework for Efficient and Effective Subsequence Retrieval,20200102,Haohan Zhu,Xingcan Cui,1318,0.07631578947368423,0
12,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Jing Wang,960,0.12180451127819547,0
13,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Robert Brunel,1186,0.08040935672514621,0
14,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Carsten Binnig,761,0.11861504307305325,0
15,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Renata Borovica-Gajic,1180,0.12180451127819547,0
16,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,Pericles de Oliveira,1142,0.08040935672514621,0
17,A Comparison of Flexible Schemas for Software as a Service,20200103,Stefan Aulbach,David B. Lomet,802,0.08040935672514621,0
18,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Xin Huang,1315,0.03880735353897094,0
19,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Yongming Luo,1344,0.07832594463128473,0
20,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Mingjie Tang,1081,0.03880735353897094,0
21,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Aristides Gionis,732,0.11554054054054053,0
22,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Abdullah Mueen,683,0.11554054054054053,0
23,A Comprehensive Study of Main-Memory Partitioning and its Application to Large-Scale Comparison- and Radix-Sort,20200104,Orestis Polychroniou,Puya Memarzia,1159,0.07631578947368423,0
24,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Xin Huang,1315,0.07832594463128473,0
25,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Khaled Elmeleegy,996,0.07631578947368423,0
26,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Yongming Luo,1344,0.07832594463128473,0
27,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Charu C. Aggarwal,766,0.15555555555555556,0
28,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Tova Milo,1266,0.07832594463128473,0
29,Making Pattern Queries Bounded in Big Graphs,20200105,Yang Cao,Andrey Gubichev,717,0.07832594463128473,0
30,Predictive Tree: An Efficient Index for Predictive Queries On Road Networks,20200106,Abdeltawab M. Hendawi,Yongming Luo,1344,0.07832594463128473,0
