reviewer_orcid,reviewer_title,reviewer_title_doi,reviewer_diligency,reviewer_available
915,Loom: Query-aware Partitioning of Online Graphs,,1,1
1177,"Social, Structured and Semantic Search",,0,2
950,DeepSea: Progressive Workload-Aware Partitioning of Materialized Views in Scalable Data Analytics,,1,3
897,Privacy Preserving Similarity Evaluation of Time Series Data,,0,1
1135,Finding Socio-Textual Associations Among Locations,,1,2
791,Monitoring MaxRS in Spatial Data Streams,,0,3
1099,A Highly Scalable Labelling Approach for Exact Distance Queries in Complex Networks,,0,2
814,Efficient Record Linkage Using a Compact Hamming Space,,1,3
1279,Querying RDF Data Using A Multigraph-based Approach,,0,1
1136,HCS: Hierarchical Cut Selection for Efficiently Processing Queries on Data Columns using Hierarchical Bitmap,,1,2
728,Scalable and Dynamic Regeneration of Big Data Volumes,,0,3
789,Discovering Order Dependencies through Order Compatibility,,1,1
779,A Parallel and Scalable Processor for JSON Data,,0,2
1273,Functional Geometric Monitoring for Distributed Streams,,1,3
718,Learning Path Queries on Graph Databases,,0,1
792,Optimizing Reformulation-based Query Answering in RDF,,1,2
1000,The Copernicus App Lab project: Easy Access to Copernicus Data,,0,3
938,Contender: A Resource Modeling Approach for Concurrent Query Performance Prediction,,1,1
1112,Attendance Maximization for Successful Social Event Planning,,0,2
1150,DynFD: Functional Dependency Discovery in Dynamic Datasets,,1,3
941,Holistic Data Profiling: Simultaneous Discovery of Various Metadata,,0,1
690,Cohesive Keyword Search on Tree Data,,1,2
785,Redoop: Supporting Recurring Queries in Hadoop,,0,3
1220,A Tale of Two Graphs: Property Graphs as RDF in Oracle,,1,1
1349,"Taxi Queue, Passenger Queue or No Queue? A Queue Detection and Analysis System using Taxi State Transition",,0,2
1189,Finding Contrast Patterns for Mixed Streaming Data,,1,3
1374,Efficient and Flexible Index Access in MapReduce,,0,1
770,Umzi: Unified Multi-Zone Indexing for Large-Scale HTAP,,1,2
1207,"RDF-TX: A Fast, User-Friendly System for Querying the History of RDF Knowledge Bases",,0,3
1181,Reachability Queries in Very Large Graphs: A Fast Refined Online Search Approach,,0,2
719,Interactive Inference of Join Queries,,1,3
1266,Interactive Rule Refinement for Fraud Detection,,1,2
1109,Query-Based Why-Not Provenance with NedExplain ,,0,3
1253,Exact and Approximate Algorithms for Finding k-Shortest Paths with Limited Overlap,,1,1
851,COP: Planning Conflicts for Faster Parallel Transactional Machine Learning,,0,2
987,Reconstruction Privacy: Enabling Statistical Learning,,1,3
783,Maritime Data Integration and Analysis:  Recent Progress and Research Challenges,,0,1
1367,Grid-Index Algorithm for Reverse Rank Queries,,1,2
1255,Spatial Data Management Challenges in the Simulation Sciences,,0,3
780,Similarity Search on Spatio-Textual Point Sets,,1,1
1348,Query Optimization over Cloud Data Market,,0,2
1211,Slowing the Firehose: Multi-Dimensional Diversity on Social Post Streams,,1,3
806,Leveraging Bitmap Indexing for Subgraph Searching,,0,1
703,Scalable Public Transportation Queries on the Database,,1,2
1269,Storing and Analyzing Historical Graph Data at Scale,,0,3
1332,Extending Cross-Domain Knowledge Bases with Long Tail Entities using Web Table Data,,1,1
1104,Resolving XML Semantic Ambiguity,,0,2
1115,In-DBMS Sampling-based Sub-trajectory Clustering,,1,3
1366,Efficient Network Reliability Computation in Uncertain Graphs,,0,1
1308,Scalable Evaluation of k-NNQueries on Large Uncertain Graphs,,0,3
717,Exploiting the query structure for efficient join ordering in SPARQL queries,,1,1
1358,On Optimality of Jury Selection in Crowdsourcing,,0,2
803,Toward Hardware-Sensitive Database Operations,,1,3
1127,Learning to Rank Adaptively for Scalable Information Extraction,,0,1
698,An Automated System for Internet Pharmacy Verification,,1,2
682,User-guided Repairing of Inconsistent Knowledge Bases,,1,1
881,Distributed query-aware quantization for high-dimensional similarity searches,,0,2
971,Online Set Selection with Fairness and Diversity Constraints,,1,3
1272,"MinoanER: Schema-Agnostic, Non-Iterative, Massively Parallel Resolution of Web Entities",,0,1
